"name","dateEstablished","city","country","longitude","latitude"
"McDonald's","2015","Melbourne","US",-80.6228,28.0846
"Pizza Hut","2016","San Jose","US",-121.8312,37.2538
"Pizza Hut","2016","San Jose","US",-121.7936,37.3158
"McDonald's","2019","Grand Canyon","US",-112.12643,35.97209
"AW All-American Food","2016","Seligman","US",-112.9548,35.321247
"Subway","2019","Florence","US",-111.3871,33.03097
"Arby's","2019","Winslow","US",-110.69827,35.04122
"McDonald's - CLOSED","2019","Elkhart","US",-86.0585,41.6867
"Jack in the Box","2019","Mesa","US",-111.61484,33.38933
"Jimmy John's","2016","Saint Louis","US",-90.2401,38.6357
"Dairy Queen","2019","Benson","US",-110.29411,31.98826
"KFC","2019","Fort Oglethorpe","US",-85.2537,34.9547
"Taco Bell","2015","Augusta","US",-82.0368,33.5108
"Jack in the Box","2019","Tucson","US",-110.87456,32.20735
"Jack in the Box","2019","Tucson","US",-110.97733,32.13438
"Pizza Hut","2016","Tampa","US",-82.4765,28.0697
"Subway","2019","Coolidge","US",-111.5236,32.98579
"Burger King","2019","Mesa","US",-111.74014,33.38387
"SUBWAY","2017","Eureka","US",-124.1789,40.7926
"Domino's Pizza","2019","Tucson","US",-110.96846,32.18563
"McDonald's","2019","Tucson","US",-110.84147,32.20591
"McDonald's","2019","Tucson","US",-110.79842,32.25841
"Burger King","2019","Tucson","US",-110.8428,32.1918
"Flame Broiler","2016","Duarte","US",-117.9793,34.1397
"Del Taco","2016","Elk Grove","US",-121.4152,38.424
"Subway","2016","Visalia","US",-119.2789,36.3418
"Pizza Hut","2016","Lodi","US",-121.2735,38.1305
"Jimmy John's","2017","Phoenix","US",-112.12093,33.66662
"McDonald's","2018","Ranson","US",-77.8514,39.3204
"Burger King","2019","Phoenix","US",-112.20403,33.45197
"Church's Chicken","2019","Tucson","US",-110.90758,32.20655
"Wendy's","2019","Tucson","US",-110.82494,32.25029
"900 Degrees Pizza","2016","Utica","US",-82.9752,42.6707
"Subway","2017","Waverly","US",-92.4775,42.7254
"Subway","2017","Delphi","US",-86.6799,40.586
"Church's Chicken","2018","Phoenix","US",-112.20472,33.46623
"Taco Bell","2019","Phoenix","US",-112.13296,33.39327
"Church's Chicken","2019","Phoenix","US",-112.22028,33.49432
"Sunwest Burgers","2019","Glendale","US",-112.18454,33.61121
"McDonald's","2017","Oak Lawn","US",-87.7415,41.7268
"Wendy's","2016","Chattanooga","US",-85.1983,35.0842
"Krystal","2016","Brunswick","US",-81.5726,31.1359
"McDonald's","2019","Gainesville","US",-82.4072,29.6591
"Checkers","2019","Merritt Island","US",-80.6999,28.3653
"Pizza Hut","2015","Largo","US",-82.8293,27.8808
"KFC","2019","Seminole","US",-82.7867,27.837
"Chinese Thai To Go","2016","Fort Pierce","US",-80.3499,27.4526
"Baba's Burgers & Gyros","2017","Estes Park","US",-105.5413,40.3651
"Los Taquitos","2018","Phoenix","US",-111.9819,33.34816
"Arby's","2019","Tempe","US",-111.96258,33.34952
"Surfside Burger Shack","2016","Eureka","US",-124.1665,40.802
"Pizza Hut","2019","Coolidge","US",-111.52369,32.97788
"Burger King","2019","Antioch","US",-121.7557,38.0055
"BLIMPIE","2019","Phoenix","US",-111.98953,33.30584
"Del Taco","2016","Temecula","US",-117.1271,33.4758
"Taco Bell","2017","Atlanta","US",-84.3276,33.8433
"Evangelo's Restaurant","2017","Wasilla","US",-149.3838,61.5712
"Jimmy John's","2016","Troy","US",-84.2404,40.0556
"Charley's Grilled Subs","2019","Tucson","US",-110.8567,32.20715
"Wienerschnitzel","2019","Tucson","US",-110.97755,32.26927
"Great Wall Chinese Restaurant","2016","Elkhart","US",-86.0034,41.6909
"Dairy Queen Grill & Chill","2019","Mishawaka","US",-86.1806,41.6801
"Burger King","2015","Dowagiac","US",-86.1233,41.9835
"Pizza Hut","2017","West Chester","US",-84.364,39.3514
"McDonald's","2015","Loves Park","US",-89.0584,42.3175
"Chick-fil-A","2019","Elmhurst","US",-87.9617,41.8925
"Panera Bread","2017","Naperville","US",-88.1242,41.7961
"Subway","2016","Urbana","US",-88.2176,40.1167
"Panda Express","2017","Philadelphia","US",-75.1685,39.9541
"Burger King","2019","Buckeye","US",-112.55611,33.43441
"Subway","2016","Naples","US",-81.76,26.1239
"Jon Smith Subs","2015","West Palm Beach","US",-80.1113,26.6982
"Sonic Drive-In","2019","Colorado Springs","US",-104.7483,38.8958
"Chick-fil-A","2019","Mesa","US",-111.68721,33.32619
"Taco Bell","2017","Gustine","US",-121.0153,37.1038
"Subway","2017","Apache Junction","US",-111.59745,33.41465
"Subway","2019","Mesa","US",-111.68931,33.3938
"Round Table Pizza","2016","San Jose","US",-121.9047,37.2413
"BLIMPIE","2019","Sierra Vista","US",-110.30154,31.55389
"Little Caesars Pizza","2017","Gilbert","US",-111.75561,33.26244
"McDonald's","2017","Gold Canyon","US",-111.46936,33.35921
"McDonald's","2019","Phoenix","US",-112.06463,33.5657
"McDonald's","2019","Phoenix","US",-112.22302,33.42104
"McDonald's","2019","Phoenix","US",-111.99509,33.30473
"McDonald's","2019","Phoenix","US",-111.98147,33.33115
"McDonald's","2019","Mesa","US",-111.6862,33.32025
"McDonald's","2019","Phoenix","US",-112.13346,33.65509
"McDonald's","2018","Phoenix","US",-112.12793,33.49481
"McDonald's","2018","Casa Grande","US",-111.75586,32.93951
"Jack's","2016","Huntsville","US",-86.5198,34.8058
"Taco Bell","2018","Beltsville","US",-76.9121,39.0322
"Taco Bell","2019","Auburn Hills","US",-83.2463,42.6598
"McDonald's","2019","Ankeny","US",-93.621,41.7038
